Bit,Name,SMARTS
EStateFP1,sLi,[LiD1]-*
EStateFP2,ssBe,[BeD2](-*)-*
EStateFP3,ssssBe,[BeD4](-*)(-*)(-*)-*
EStateFP4,ssBH,[BD2H](-*)-*
EStateFP5,sssB,[BD3](-*)(-*)-*
EStateFP6,ssssB,[BD4](-*)(-*)(-*)-*
EStateFP7,sCH3,[CD1H3]-*
EStateFP8,dCH2,[CD1H2]=*
EStateFP9,ssCH2,[CD2H2](-*)-*
EStateFP10,tCH,[CD1H]#*
EStateFP11,dsCH,[CD2H](=*)-*
EStateFP12,aaCH,"[C,c;D2H](:*):*"
EStateFP13,sssCH,[CD3H](-*)(-*)-*
EStateFP14,ddC,[CD2H0](=*)=*
EStateFP15,tsC,[CD2H0](#*)-*
EStateFP16,dssC,[CD3H0](=*)(-*)-*
EStateFP17,aasC,"[C,c;D3H0](:*)(:*)-*"
EStateFP18,aaaC,"[C,c;D3H0](:*)(:*):*"
EStateFP19,ssssC,[CD4H0](-*)(-*)(-*)-*
EStateFP20,sNH3,[ND1H3]-*
EStateFP21,sNH2,[ND1H2]-*
EStateFP22,ssNH2,[ND2H2](-*)-*
EStateFP23,dNH,[ND1H]=*
EStateFP24,ssNH,[ND2H](-*)-*
EStateFP25,aaNH,"[N,nD2H](:*):*"
EStateFP26,tN,[ND1H0]#*
EStateFP27,sssNH,[ND3H](-*)(-*)-*
EStateFP28,dsN,[ND2H0](=*)-*
EStateFP29,aaN,"[N,nD2H0](:*):*"
EStateFP30,sssN,[ND3H0](-*)(-*)-*
EStateFP31,ddsN,"[ND3H0](~[OD1H0])(~[OD1H0])-,:*"
EStateFP32,aasN,"[N,nD3H0](:*)(:*)-,:*"
EStateFP33,ssssN,[ND4H0](-*)(-*)(-*)-*
EStateFP34,sOH,[OD1H]-*
EStateFP35,dO,[OD1H0]=*
EStateFP36,ssO,[OD2H0](-*)-*
EStateFP37,aaO,"[O,oD2H0](:*):*"
EStateFP38,sF,[FD1]-*
EStateFP39,sSiH3,[SiD1H3]-*
EStateFP40,ssSiH2,[SiD2H2](-*)-*
EStateFP41,sssSiH,[SiD3H1](-*)(-*)-*
EStateFP42,ssssSi,[SiD4H0](-*)(-*)(-*)-*
EStateFP43,sPH2,[PD1H2]-*
EStateFP44,ssPH,[PD2H1](-*)-*
EStateFP45,sssP,[PD3H0](-*)(-*)-*
EStateFP46,dsssP,[PD4H0](=*)(-*)(-*)-*
EStateFP47,sssssP,[PD5H0](-*)(-*)(-*)(-*)-*
EStateFP48,sSH,[SD1H1]-*
EStateFP49,dS,[SD1H0]=*
EStateFP50,ssS,[SD2H0](-*)-*
EStateFP51,aaS,"[S,sD2H0](:*):*"
EStateFP52,dssS,[SD3H0](=*)(-*)-*
EStateFP53,ddssS,[SD4H0](~[OD1H0])(~[OD1H0])(-*)-*
EStateFP54,sCl,[ClD1]-*
EStateFP55,sGeH3,[GeD1H3](-*)
EStateFP56,ssGeH2,[GeD2H2](-*)-*
EStateFP57,sssGeH,[GeD3H1](-*)(-*)-*
EStateFP58,ssssGe,[GeD4H0](-*)(-*)(-*)-*
EStateFP59,sAsH2,[AsD1H2]-*
EStateFP60,ssAsH,[AsD2H1](-*)-*
EStateFP61,sssAs,[AsD3H0](-*)(-*)-*
EStateFP62,sssdAs,[AsD4H0](=*)(-*)(-*)-*
EStateFP63,sssssAs,[AsD5H0](-*)(-*)(-*)(-*)-*
EStateFP64,sSeH,[SeD1H1]-*
EStateFP65,dSe,[SeD1H0]=*
EStateFP66,ssSe,[SeD2H0](-*)-*
EStateFP67,aaSe,[SeD2H0](:*):*
EStateFP68,dssSe,[SeD3H0](=*)(-*)-*
EStateFP69,ddssSe,[SeD4H0](=*)(=*)(-*)-*
EStateFP70,sBr,[BrD1]-*
EStateFP71,sSnH3,[SnD1H3]-*
EStateFP72,ssSnH2,[SnD2H2](-*)-*
EStateFP73,sssSnH,[SnD3H1](-*)(-*)-*
EStateFP74,ssssSn,[SnD4H0](-*)(-*)(-*)-*
EStateFP75,sI,[ID1]-*
EStateFP76,sPbH3,[PbD1H3]-*
EStateFP77,ssPbH2,[PbD2H2](-*)-*
EStateFP78,sssPbH,[PbD3H1](-*)(-*)-*
EStateFP79,ssssPb,[PbD4H0](-*)(-*)(-*)-*.
