Compound,ChEMBL_ID,Species,Activity,Value,Unit
flumazenil, CHEMBL407 ,Hs,-,9.0,pKi
AZD7325, CHEMBL1783282 ,Hs,Positive,8.9,pKi
triazolam, CHEMBL646 ,Hs,Positive,8.8,pKi
clonazepam, CHEMBL452 ,Hs,Positive,8.7,pKi
flunitrazepam, CHEMBL13280 ,Hs,Positive,7.8,pKi
diazepam, CHEMBL12 ,Hs,Positive,7.8,pKi
zolpidem, CHEMBL911 ,Hs,Positive,5.7,pKi
alprazolam, CHEMBL661 ,Hs,Positive,7.2,pEC50
Zn2+,-,Hs,Inhibition,-,-
α3IA, CHEMBL413325 ,Hs,-,-,-
α5IA, CHEMBL306422 ,Hs,Inverse agonist,-,-
5α-pregnan-3α-ol-20-one, CHEMBL207538 ,Hs,Potentiation,-,-
bretazenil, CHEMBL366947 ,Hs,Full agonist,-,-
DMCM,-,Hs,Inverse agonist,-,-
L838417, CHEMBL373250 ,Hs,Partial agonist,-,-
MRK016, CHEMBL363211 ,Hs,Inverse agonist,-,-
ocinaplon, CHEMBL2105199 ,Hs,Partial agonist,-,-
Ro15-4513, CHEMBL6597 ,Hs,Inverse agonist,-,-
Ro19-4603, CHEMBL269366 ,Hs,Inverse agonist,-,-
RO4938581, CHEMBL1080588 ,Hs,Inverse agonist,-,-
tetrahydrodeoxycorticosterone, CHEMBL1256760 ,Hs,Potentiation,-,-
TP003,-,Hs,Partial agonist,-,-
TPA023,-,Hs,Partial agonist,-,-
ZK93426, CHEMBL1271047 ,Hs,Antagonist,-,-
[3H]flunitrazepam, CHEMBL13280 ,Hs,Full agonist,-,-
[3H]CGS8216,-,Hs,Mixed,-,-
[11C]flumazenil, CHEMBL407,Hs,-,-,-
[18F]fluoroethylflumazenil,-,Hs,-,,
